"Participant Identifier","Time Spent on Thoughts","Number of Thoughts Started","Number of Responses Answered","Number of Logins","Day of first login","Day of most recent login","Time on site","Number of ""I relates"" received","Number of ""flags"" received"
c9ea290836b4597a437c0d5acb399e2a_4,00:00:32,1,5,N/A,N/A,N/A,N/A,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_2,06:15:12,55,175,12,"2020-12-17 21:00:27","2021-01-12 15:24:57",23:12:00,11,3
990334d1bee3a2b6b5ef7de7d84fd8b3_28,06:02:17,1,9,1,"2021-01-12 02:15:38","2021-01-12 02:15:38",00:00:01,0,0
990334d1bee3a2b6b5ef7de7d84fd8b3_24,05:39:02,2,18,1,"2021-01-12 00:51:52","2021-01-12 00:51:52",00:00:08,0,0
